date, pm25, pm10, o3, no2, so2, co
2014/11/9, 36, , , 20, , 
2014/11/10, 54, , , 15, , 
2014/11/11, 44, , , 19, , 
2014/11/12, 35, , , 18, , 
2014/11/13, 34, , , 20, , 
2014/11/14, 47, , , 19, , 
2014/11/15, 50, , , 11, , 
2014/11/16, 31, , , 23, , 
2014/11/17, 44, , , 17, , 
2014/11/18, 50, , , 15, , 
2014/11/19, 63, , , 13, , 
2014/11/20, 56, , , 16, , 
2014/11/21, 78, , , 18, , 
2014/11/22, 78, , , 14, , 
2014/11/23, 70, , , 8, , 
2014/11/24, 31, , , 13, , 
2014/11/25, 56, , , 17, , 
2014/11/26, 68, , , 16, , 
2014/11/27, 49, , , 15, , 
2014/11/28, 44, , , 12, , 
2014/11/29, 85, , , 11, , 
2014/11/30, 66, , , 13, , 
2014/12/1, 62, , , 15, , 
2014/12/2, 64, , , 18, , 
2014/12/3, 90, , , 13, , 
2014/12/4, 78, , , 13, , 
2014/12/5, 63, , , 13, , 
2014/12/6, 49, , , 21, , 
2014/12/7, 70, , , 23, , 
